"subj","death","entry.years","censor.years","strength.3","strength.6","cons.3","cons.6","st.co3","st.co6","rank","af.groupmates","age.first.rep","period.pres","date.of.birth.estimate.range.years"
"gumm","0",7.07734428473648,8.58316221765914,5.81087367809099,4.75660141184795,0,0.166666667,"1","1",0.47,21,2585,2,0
"hano","0",5.89459274469541,7.62765229295003,9.06927299819655,5.75299414757654,0.666666667,0.666666667,"4","3",0.17,12.5,2153,2,0
"hoba","0",8.38329911019849,12.1314168377823,6.88167320790113,4.71879044575203,0.444444444,0.611111111,"1","1",0.21,10.5,3062,4,0.67
"hong","0",8.435318275154,12.1314168377823,7.93729003982916,5.41172943047675,0.777777778,0.666666667,"4","3",0.09,10.5,3081,4,0.67
"jig","1",12.6297056810404,18.9623545516769,4.50226017307699,2.68045032001629,0.555555556,0.666666667,"2","1",0.97,12.42857143,2901,7,0.5
"jua2","1",6.77344284736482,8.38329911019849,10.1686123113539,7.10048885670772,0,0.333333333,"3","3",0.25,13,2473,2,0
"kami","0",7.88501026694045,14.4503764544832,8.80231226048684,6.58066288682207,0.277777778,0.527777778,"3","3",0.55,18.42857143,2879,7,0
"kati","0",9.00205338809035,10.6228610540726,5.76906315438664,4.37810488506603,0.333333333,0.5,"1","1",0.58,21,3287,2,0
"kayl","0",6.94318959616701,11.5920602327173,15.9293860513078,11.3904142586826,0.583333333,0.782608696,"4","4",0.46,7.8,2536,5,0
"kipp","0",8.58590006844627,16.5831622176591,7.18995793527566,4.64286514697226,0.619047619,0.825,"2","2",0.34,7.375,1864,8,0
"kitt","1",22.6310746064339,26.2258726899384,4.84944239689806,3.25365383340612,0.444444444,0.882352941,"1","2",0.13,6.75,3257,4,0.5
"kk","0",10.715947980835,18.7132101300479,5.05745455912879,3.99708456089544,0.238095238,0.619047619,"1","1",0.01,18,2556,8,0
"kolv","0",10.9240246406571,12.4928131416838,4.8332068346181,3.5838528382888,0.333333333,0.5,"1","1",0.53,21,3990,2,0
"lala","0",6.6611909650924,9.782340862423,7.51161401631373,5.29631673934743,0.166666667,0.666666667,"1","1",0.11,12.33333333,2433,3,0
"lily","1",18.6310746064339,20.5968514715948,6.65614495509799,4.16707186582447,0.333333333,0.666666667,"1","1",0.68,16,1827,2,2.5
"lobs","0",8.86242299794661,12.6269678302533,10.6266943377589,6.14848115801835,0.777777778,0.666666667,"4","3",0.55,10.5,3237,4,0
"lond","0",6.88021902806297,14.8774811772758,9.26691639740884,6.30051746648694,0.380952381,0.6,"3","3",0.35,11,2623,8,0
"lucy","1",8.9637234770705,10.3134839151266,9.36478618315329,5.94989167664819,0.333333333,0.833333333,"3","4",0.47,16,2385,2,0
"merl","0",7.00068446269678,11.6605065023956,7.24536080865402,5.08222267208521,0.583333333,0.541666667,"2","1",0.71,15.2,2557,5,0
"mush","0",5.87542778918549,11.5893223819302,4.68596662118532,3.08588001265643,0.6,0.666666667,"2","1",0.83,11,2146,6,0
"ns","1",13.6290212183436,17.9876796714579,9.42427616815105,8.01778786952969,0.666666667,0.684210526,"4","4",0.11,9,2936,5,0.5
"oo7","0",9.07049965776865,17.0677618069815,5.89745236407584,3.93462409322747,0.476190476,0.666666667,"1","1",0.69,11,1988,8,0
"opal","0",7.8466803559206,11.5345653661875,12.7535815190522,8.85504561072382,0.666666667,0.833333333,"4","4",0.79,9.5,2866,2,0
"pans","0",9.13347022587269,17.1307323750856,4.71162713065626,3.60482536914963,0.380952381,0.619047619,"1","1",0.22,18,1678,8,0.5
"park","0",7.09377138945927,11.5865845311431,11.3598806644011,8.62316224703401,0.666666667,0.826086957,"4","4",0.02,19,2589,5,0
"peab","1",7.84941820670773,11.6440793976728,10.1331460270338,6.45545429073434,0.444444444,0.666666667,"3","3",0.06,14.75,2867,4,0
"peta","1",20.6297056810404,21.8343600273785,7.48256283576511,4.76035254298458,0.333333333,1,"1","2",0.11,7,2251,2,0
"pinc","0",16.6297056810404,24.6269678302532,6.0541950179905,3.85462426266585,0.571428571,0.571428571,"2","1",0.99,14.625,2908,8,0.5
"pomb","0",7.82751540041068,9.65913757700205,5.1264898581435,4.13633937278459,0.666666667,0.666666667,"2","1",0.83,12.5,2859,2,0
"prin","1",8.66803559206023,11.0609171800137,10.0052295134974,6.71698714889874,0.5,0.666666667,"3","3",0.92,13.66666667,2217,3,0
"quan","0",13.7138945927447,21.7111567419576,4.7613534950013,3.50541817777968,0.476190476,0.547619048,"1","1",0.35,18,2606,8,0
"ratc","1",6.94592744695414,9.73579739904175,14.5315168817847,9.23243084939234,0.444444444,0.555555556,"3","3",0.37,15.25,2537,4,0
"rave","0",8.10403832991102,11.7152635181383,7.88707810514584,5.73715601817428,0.555555556,0.823529412,"4","4",0.18,8,2960,4,0
"robe","0",6.95687885010267,11.7399041752225,9.68929784453576,6.73270324090263,0.583333333,0.583333333,"4","3",0.36,15.2,2541,5,0
"saph","0",6.95140314852841,8.55030800821355,11.1499273428527,7.32351988845694,0.666666667,1,"4","4",0.85,9.5,2539,2,0
"sauc","0",11.5071868583162,19.5044490075291,7.90557391348279,5.73067909747371,0.523809524,0.69047619,"4","4",0.87,18,2527,8,0
"sava","0",6.85284052019165,10.5954825462012,7.53844127304793,5.67798545682461,0.444444444,0.611111111,"1","3",0.79,19.5,2503,4,0
"soft","0",11.5537303216975,19.5509924709103,14.1247598996213,12.740249310038,0.736842105,0.692307692,"4","4",0.74,6.75,2660,8,0
"spik","0",16.6297056810404,24.6269678302532,10.1738096152529,6.78786745987931,0.571428571,0.642857143,"4","3",0.53,14.625,2616,8,0.5
"spla","1",7.60301163586585,12.4709103353867,7.21599700034872,4.59961175328524,0.583333333,0.583333333,"2","1",0.49,14.6,2470,5,0
"sput","0",6.66392881587953,12.2436687200548,7.73338048126042,4.99416171035187,0.666666667,0.666666667,"4","1",0.48,15,2434,6,0
"tang","0",10.6694045174538,18.6666666666667,5.7588523492012,4.15369248290449,0.666666667,0.642857143,"2","1",0.66,14.625,2218,8,0
"trim","1",9.6290212183436,15.2443531827515,6.15428808260469,4.58867406784001,0.533333333,0.666666667,"2","1",0.43,17,2929,6,0
"tux","0",6.85284052019165,12.5941136208077,5.15017905474603,3.50043269945554,0.533333333,0.633333333,"2","1",0.67,15,2503,6,0
"twin","0",8.85694729637235,16.5284052019165,6.63270565832756,4.70997488834549,0.666666667,0.69047619,"2","2",1,18,3235,8,0
