"subj","period","start.age","stop.age","death","strength.3","strength.6","rank","af.groupmates","cons.p3","cons.p6","a.st.co3","a.st.co6"
"ding","p7",8266,8630,0,4.37945030834119,2.721018829449,0.166666666666667,13,1,0.666666666666667,"2","1"
"ding","p8",8631,8995,0,5.14902387183707,3.19000537848353,0,17,0.333333333333333,0.666666666666667,"1","1"
"dixi","p2",3913,4278,0,12.0526969102782,9.02458014405528,0.9375,17,0.666666666666667,0.666666666666667,"4","3"
"dixi","p3",4279,4643,0,6.42034272954042,4.82683171699804,0.9375,17,0.333333333333333,0.666666666666667,"1","1"
"dixi","p4",4652,5008,0,8.90388899447548,5.17881536840041,0.9375,17,1,0.833333333333333,"4","4"
"dixi","p5",5009,5373,0,4.74915587866942,3.39308720247887,0.9375,17,1,0.666666666666667,"2","1"
"dixi","p6",5374,5739,0,4.33459653513088,3.47570612026521,0.944444444444444,19,0.666666666666667,0.666666666666667,"2","1"
"dixi","p7",5740,6104,0,5.02478216910347,3.69953166548486,0.947368421052632,20,0.333333333333333,0.666666666666667,"1","1"
"dixi","p8",6105,6469,0,5.21907975173313,3.44494022336572,0.952380952380952,22,1,0.833333333333333,"2","2"
"dj","p2",3111,3476,0,5.69726678574095,3.75383649987089,0.714285714285714,15,0.333333333333333,0.666666666666667,"1","1"
"dj","p3",3477,3841,0,5.90986987343224,4.06162166625829,0.807692307692308,14,0.333333333333333,0.5,"1","1"
"dj","p4",3850,4206,0,6.71591185510262,4.36743158515246,0.8,16,0.333333333333333,0.333333333333333,"1","1"
"dj","p5",4207,4571,0,3.4054545443261,2.45850501621746,0.733333333333333,16,0.666666666666667,0.666666666666667,"2","1"
"dj","p6",4572,4937,0,3.88839117295289,3.0415441533408,0.769230769230769,14,0.333333333333333,0.666666666666667,"1","1"
"dj","p7",4938,5302,0,3.32498360638594,2.37919389279983,0.75,13,0.666666666666667,0.666666666666667,"2","1"
"dj","p8",5303,5667,0,3.72362757553975,2.93410923829227,0.617647058823529,17,0.333333333333333,0.666666666666667,"1","1"
"elle","p2",3580,3945,0,3.00064776915637,2.7461395036551,0.0625,17,0,0.333333333333333,"1","1"
"elle","p3",3946,4310,0,2.22668650097036,1.90709323662916,0.0625,17,0,0.833333333333333,"1","2"
"elle","p4",4319,4675,0,3.66442783354376,2.64567942681229,0.0625,17,0,0.5,"1","1"
"elle","p5",4676,5040,0,5.12845766901715,3.74486752174804,0,17,0.333333333333333,0.666666666666667,"1","1"
"elle","p6",5041,5406,0,4.46623597844581,3.32071779680829,0.0555555555555556,19,0.666666666666667,0.666666666666667,"2","1"
"elle","p7",5407,5771,0,2.50818418094266,1.9352645410735,0.0526315789473684,20,0.333333333333333,0.333333333333333,"1","1"
"elle","p8",5772,6136,0,3.8708951318378,2.80604648905465,0.142857142857143,22,0.666666666666667,0.833333333333333,"2","2"
"flat","p5",3894,4258,0,4.37512289868408,2.60492725509256,0.888888888888889,8,0.666666666666667,0.666666666666667,"2","1"
"flat","p6",4259,4624,0,7.67115567129153,4.63046836999502,0.875,9,0.333333333333333,0.666666666666667,"3","1"
"flat","p7",4625,4989,0,6.68932193638884,4.5665470324893,0.909090909090909,12,0.666666666666667,0.666666666666667,"2","1"
"flat","p8",4990,5354,0,7.40268723329655,4.69771941884821,0.916666666666667,13,0.666666666666667,0.833333333333333,"4","2"
"flet","p2",7184,7549,0,7.98137149661711,5.51483340437426,0.625,17,0.666666666666667,0.333333333333333,"4","3"
"flet","p3",7550,7914,0,3.55766873078127,2.43416702535194,0.65625,17,0.666666666666667,1,"2","2"
"flet","p4",7923,8306,1,7.99144099365384,4.83471989501355,0.625,17,0.666666666666667,0.666666666666667,"4","1"
